País,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Argentina ,  3.4,  3.5,  3.6,  3.5,  3.6,  3.7,  3.8,  3.9,  3.9,  4.0,  3.8,  3.6,  3.3,  3.5,  4.1,  4.1,  4.4,  4.4,  4.7,  4.4,  4.6,  4.6,  4.6,  4.5,  4.5,  4.5
Belice ,  1.7,  1.9,  1.8,  1.9,  1.9,  1.8,  1.4,  1.8,  1.6,  1.5,  1.7,  1.6,  1.4,  1.4,  1.4,  1.5,  1.5,  1.5,  1.3,  1.4,  1.7,  1.8,  1.4,  1.5,  1.5,  1.5
Bolivia (Estado Plurinacional de) ,  0.8,  0.8,  0.9,  1.1,  1.2,  1.3,  1.3,  1.4,  1.4,  1.4,  1.2,  1.2,  1.1,  1.6,  1.5,  1.3,  1.6,  1.3,  1.4,  1.4,  1.5,  1.6,  1.8,  1.9,  1.9,  1.9
Brasil ,  1.4,  1.4,  1.4,  1.5,  1.5,  1.6,  1.7,  1.8,  1.8,  1.9,  1.9,  1.9,  1.8,  1.8,  1.8,  1.9,  1.8,  1.9,  2.0,  1.9,  2.1,  2.2,  2.3,  2.5,  2.6,  2.5
Chile ,  2.5,  2.3,  2.4,  2.5,  2.7,  2.9,  3.3,  3.8,  3.8,  4.1,  3.8,  3.4,  3.5,  3.5,  3.7,  3.8,  3.9,  4.3,  4.3,  3.9,  4.2,  4.6,  4.6,  4.7,  4.6,  4.5
Colombia ,  1.7,  1.6,  1.7,  1.8,  1.8,  1.6,  1.6,  1.7,  1.7,  1.4,  1.4,  1.4,  1.3,  1.4,  1.3,  1.4,  1.4,  1.4,  1.5,  1.6,  1.7,  1.6,  1.7,  1.9,  2.0,  2.0
Costa Rica ,  1.0,  1.1,  1.2,  1.2,  1.5,  1.4,  1.3,  1.4,  1.4,  1.4,  1.4,  1.4,  1.6,  1.6,  1.6,  1.6,  1.6,  1.9,  1.8,  1.8,  1.7,  1.7,  1.7,  1.6,  1.6,  1.6
Ecuador ,  1.6,  1.6,  2.1,  2.2,  1.2,  2.0,  2.1,  1.5,  1.8,  1.7,  1.6,  1.8,  1.9,  2.0,  2.1,  2.2,  2.1,  2.2,  2.3,  2.4,  2.5,  2.6,  2.6,  2.8,  2.8,  2.7
El Salvador ,  0.5,  0.6,  0.6,  0.7,  0.8,  0.9,  0.8,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.1,  1.1,  1.1,  1.1,  1.1,  1.1,  1.0,  1.0,  1.1,  1.2,  1.0,  1.0,  1.1
Guatemala ,  0.6,  0.6,  0.6,  0.6,  0.7,  0.7,  0.6,  0.7,  0.8,  0.8,  0.9,  0.9,  0.9,  0.9,  0.9,  1.0,  1.0,  0.9,  0.8,  0.8,  0.8,  0.8,  0.8,  0.9,  0.9,  0.9
Guyana ,  1.5,  1.5,  1.4,  1.4,  1.8,  1.9,  2.0,  2.1,  2.2,  2.2,  2.1,  2.1,  2.1,  2.1,  2.2,  1.9,  1.7,  2.1,  2.1,  2.1,  2.3,  2.4,  2.6,  2.6,  2.6,  2.6
Honduras ,  0.5,  0.5,  0.6,  0.5,  0.6,  0.7,  0.7,  0.7,  0.8,  0.7,  0.8,  0.9,  0.9,  1.0,  1.0,  1.0,  0.9,  1.1,  1.1,  1.0,  1.0,  1.1,  1.1,  1.1,  1.1,  1.1
México ,  3.7,  3.7,  3.7,  3.7,  3.8,  3.5,  3.6,  3.7,  3.8,  3.8,  3.8,  3.9,  3.8,  3.9,  3.9,  4.1,  4.1,  4.1,  4.2,  3.9,  3.8,  4.0,  4.0,  4.0,  3.9,  3.8
