codigo_proyecto,institucion financiante,programa,Instrumento,anio,nombre_proyecto,estado,Investigador,tipo_participación,institucion ejecutora,id institucion,tipo_participacion,region(es)_ejecución,region(es)_ejecución_rec,Taxonomia FIA,Taxonomia Cameron,Taxonomia_CORFO,Taxonomia Sector Aplicacion (propia),objetivos,objetivos_especificos
1150353,CONICYT,FONDECYT,FONDECYT_REG.,2015,PHYSIOLOGICAL AND MOLECULAR MECHANISM UNDERLING YIELD POTENTIAL AND ACCLIMATION TO WATER STRESS IN WHEAT:  DEVELOPMENT OF NEW TOOLS FOR SELECTION CRITERIA,,Alejandro del Pozo Lira,Investigador Principal,Universidad de Talca,174,BENEFICIARIA / DESARROLLADOR,,,,6,,2,,
1150799,CONICYT,FONDECYT,FONDECYT_REG.,2015,HYDRAULIC RESPONSE AND CARBON BALANCE OF TAMARUGO (PROSOPIS TAMARUGO PHIL.) UNDER WATER STRESS. ADVANCES IN THE KNOWLEDGE OF THE MECHANISMS OF SURVIVAL AND MORTALITY OF TAMARUGO.,,Edmundo Acevedo Hinojosa,Investigador Principal,Universidad de Chile,125,BENEFICIARIA / DESARROLLADOR,,,,6,,2,,
1150853,CONICYT,FONDECYT,FONDECYT_REG.,2015,WATERLOGGING IN PRUNUS ROOTSTOCKS: A DEEP PHYSIOLOGICAL INSIGHT OF THE HORMONAL REGULATION ON ROOT WATER UPTAKE THROUGH AQUAPORINS,,Paula Pimentel Pimentel,Investigador Principal,Centro de Estudios Avanzados en Fruticultura (CEAF),7871,BENEFICIARIA / DESARROLLADOR,,,,6,,2,,
1150928,CONICYT,FONDECYT,FONDECYT_REG.,2015,LANDSCAPE GENETICS AND EPIGENETICS OF THE MAYFLY ANDESIOPS TORRENS WITHIN A CHILEAN AGRICULTURAL WATERSHED,,Nicolás Gouin,Investigador Principal,Centro de Estudios Avanzados en Zonas Áridas (CEAZA),70997,BENEFICIARIA / DESARROLLADOR,,,,1,,2,,
1151034,CONICYT,FONDECYT,FONDECYT_REG.,2015,REFLECTIVITY OF ANTARCTICA,,Raul Cordero Carrasco,Investigador Principal,Universidad de Santiago de Chile,170,BENEFICIARIA / DESARROLLADOR,,,,2,,9,,
1151050,CONICYT,FONDECYT,FONDECYT_REG.,2015,MODELING AT THE REGIONAL SCALE THE IMPACT OF CLIMATE CHANGE ON JUVENILE WOOD PROPERTIES FOR RADIATA PINE,,Guillermo Trincado Villagrán,Investigador Principal,Universidad Austral de Chile,94,BENEFICIARIA / DESARROLLADOR,,,,7,,1,,
1151354,CONICYT,FONDECYT,FONDECYT_REG.,2015,CAMBIO DE USO DEL SUELO Y VULNERABILIDAD TERRITORIAL. UNA APROXIMACION BASADA EN INDICADORES DE SUSTENTABILIDAD A ESCALA DEL PAISAJE,,,Investigador Principal,Universidad de Concepción,127,BENEFICIARIA / DESARROLLADOR,,,,4,,8,,
1151389,CONICYT,FONDECYT,FONDECYT_REG.,2015,PALEOGEOGRAPHIC PATTERNS V/S CLIMATE CHANGE IN SOUTH AMERICA AND THE ANTARCTIC PENINSULA DURING THE LATEST CRETACEOUS: A POSSIBLE EXPLANATION FOR THE ORIGIN OF THE AUSTRAL BIOTA?,,Marcelo Leppe Cartes,Investigador Principal,INST.ANTARTICO CHILENO,7872,BENEFICIARIA / DESARROLLADOR,,,,7,,8,,
1151427,CONICYT,FONDECYT,FONDECYT_REG.,2015,SANTIAGO POLLUTION IN ANDEAN MOUNTAINS,,Fabrice Lambert,Investigador Principal,Universidad de Chile,125,BENEFICIARIA / DESARROLLADOR,,,,2,,8,,
3090071,CONICYT,FONDECYT,,2009,Search for Novel Genetic Determinants Involved in Bacterial Copper Resistance in Agricultural Soils from the Aconcagua River Basin,T,,,Pontificia Universidad Católica de Valparaíso,69,BENEFICIARIA / DESARROLLADOR,Valparaíso,5,Biotecnología; Suelos y fertilidad; Recursos hídricos,,,2,,
7080041,CONICYT,FONDECYT,,2008,Uso de Be en la Evaluación de Eficiencia de Practicas de Manejo en el Control de la Erosión y Flujo de Sedimentos a cursos de Agua Durante el Periodo Siguiente a la Cosecha a Tala Rasa de Plantaciones Forestales,T,,,Universidad Austral de Chile,94,BENEFICIARIA / DESARROLLADOR,Los Ríos,10,Manejo productivo; Suelos y fertilidad; Cosecha / faenamiento; Recursos hídricos,,,1,,
11130415,CONICYT,FONDECYT,,2013,Analysing the Exploitation Pattern of Chilean Hake and Options to Recover the Stock,T,,,Pontificia Universidad Católica de Valparaíso,69,BENEFICIARIA / DESARROLLADOR,Valparaíso,5,Manejo sustentable y uso eficiente de recursos naturales y cuencas,,,4,,
15110017,CONICYT,FONDAP,CENTROS DE EXCELENCIA,2011,CENTRO NACIONAL DE INVESTIGACION PARA LA GESTION INTEGRADA DE DESASTRES NATURALES (CIGIDEN),,,Investigador Principal,Pontificia Universidad Católica de Chile,67,BENEFICIARIA / DESARROLLADOR,,,,5,,9,,
07CT7IXM-04,CORFO,INNOVA_CHILE,,2008,Diseño de un Sistema de Gestión Integral para la calidad de Aguas en la Cuenca del Río Maule. Plan Piloto Sector Maule Norte,T,,,Universidad de Chile,125,BENEFICIARIA / DESARROLLADOR,Maule ,7,Gestión; Gestión Organizacional; Recursos hídricos,,,8,Desarrollar un sistema de gestión de calidad del agua en la subcuenca de Maule Norte,
07IEI-6113,CORFO,INNOVA_CHILE,,2008,Optimización del Uso de Agua de Riego para el Mejoramiento de la calidad y Productividad en Olivo (Olea Europea L.),T,,,Olivares de Quepu S.A.  ,931,BENEFICIARIA / DESARROLLADOR,Maule ,7,Riego y drenaje; Eficiencia hídrica,,,2,,
08ANT-7540,CORFO,INNOVA_CHILE,,2009,"Comercialización de Equipos Económicos para la Eliminación de Boro Presente en Aguas, con Fines Agronómicos e Industriales.",T,,,Asitec Ltda.  ,933,BENEFICIARIA / DESARROLLADOR,Arica y Parinacota,15,Sustentabilidad; Descontaminación; Equipos y líneas de proceso; Recursos hídricos; Transferencia tecnológica y propiedad intelectual,,,2,,
08CT11PUT-19,CORFO,INNOVA_CHILE,,2008,Desarrollo de un Sistema de Monitoreo para la Gestión Ambiental de la calidad de Aguas y Suelo Destinados a la Producción Frutícola,T,,,Universidad de Viña del Mar,181,BENEFICIARIA / DESARROLLADOR,Maule ,7,Riego y drenaje; Suelos y fertilidad; Tecnologías de información y comunicación (TICs); Tecnologías de información y comunicación (TICs); Trazabilidad; Manejo sustentable y uso eficiente de recursos naturales y cuencas; Producción limpia,,,2,"Producir información sistematizada relativa al uso, comportamiento y destino ambiental de plaguicidas y otros insumos agrícolas usados en la producción frutícola que permita obtener una plataforma científica tecnológica con la cual las empresas, exportadoras y productores, podrán enfrentar futuros procesos de auditoría y certificación ambiental y posicionar en un futuro a través de la participación de privados en convenios con la Universidad de Vina del Mar y otras instituciones de investigación a Copefrut S.A. , otras empresas exportadoras y productos de la región del Maule como ambientalmente limpias .",
08DCO7524-02,CORFO,INNOVACION EMPRESARIAL,BIENES PÚBLICOS PARA LA INNOVACIÓN,2010,DESARROLLO I+D FUNDACIÓN CHILE C-WATER,,,,SOC DE INVERSIONES COPPERFIELD LIMITADA,7873,ASOCIADO,,,,,,9,,
08DCO7524-02,CORFO,INNOVACION EMPRESARIAL,DISEÑAR UN PROCESO DE GENERACIÓN DE ELECTRICIDAD Y DESALINIZACIÓN DE AGUA USANDO ENERGÍAS RENOVABLES.,2010,DESARROLLO I+D FUNDACIÓN CHILE C-WATER,,,,International Cooper Association L.A ,7874,ASOCIADO,,,,,,9,,
