ID_investigadores,Nombre,A1,A2,N_pub_autor_principal,N_pub_total,Ratio,Proyecto,género,ofos,fos,fos_rec,tipo_inv,area WOS1,area WOS2,area WOS3,area WOS4,area WOS5,area WOS6,institución_trabaja,,,,,
7202629589,Luca,Mao,,5,44,"11,4",s.i.,M,4,Ciencias Naturales,1,I1,Forestry and Wood Industry,Forestry and Wood Industry,Hydrology,,,,Pontificia Universidad Católica de Chile,,,,,
57188787931,María,Molinos,Senante,25,43,"58,1",FONDECYT,F,2,Ciencias sociales,5,I1,Economics,Environmental Engineering,Environmental Engineering,Human Geography, Regional Geography, Regional Planning,Pontificia Universidad Católica de Chile,,,,,
9743996500,Francisca,Bown,,0,32,"0,0",,F,2,Ciencias sociales,5,I1,Human Geography, Regional Geography, Regional Planning,,,,Centro de Estudios Científicos,,,,,
6507079284,José Luis,Arumí,Ribera,6,29,"20,7",s.i.,M,3,Ingeniería y tecnología,2,I1,Civil Engineering,--,,,,,Universidad de Concepción,,,,,
7102103268,Bernabé,Rivas,,8,26,"30,8",s.i.,M,4,Ciencias Naturales,1,I1,Chemistry,Chemistry,,,,,Universidad de Concepción,,,,,
7201505087,Bonifacio,Fernández,Larrañaga,0,26,"0,0",s.i.,M,3,Ingeniería y tecnología,2,I1,--,Civil Engineering,Civil Engineering,,,,Pontificia Universidad Católica de Chile,,,,,
7003994342,Patricio,De los Ríos,Escalante,19,25,"76,0",s.i.,M,4,Ciencias Naturales,1,I1,Hydrology,,,,,,Universidad Católica de Temuco, Electronics,,,,
15760822400,Ricardo,Oyarzún,Lucero,5,24,"20,8",FONDECYT,M,4,Ciencias Naturales,1,I1,Cultivation of Land, Horticulture,--,,,,Universidad de La Serena,,,,,
120037,Andrés,Rivera,Ibañez,8,22,"36,4",,M,2,Ciencias sociales,5,I1,Human Geography, Regional Geography, Regional Planning,Interdisciplinary Geosciences not elsewhere classified,,,Universidad de Chile,,,,,
7102503885,Gladys,Vidal,Sáez,1,21,"4,8",,F,3,Ingeniería y tecnología,2,I1,--,Chemistry,,,,,Universidad de Concepción,,,,,
6603357163,Francisco,Meza,Álvarez,4,20,"20,0",,M,4,Ciencias Naturales,1,I1,Cultivation of Land, Horticulture,Meteorology, Climatology,,,Pontificia Universidad Católica de Chile,,,,,
23006671300,Sebastián,Vicuña,Díaz,8,20,"40,0",,M,4,Ciencias Naturales,1,I1,Environmental Engineering,Civil Engineering,Environmental Engineering,,,,Pontificia Universidad Católica de Chile,,,,,
56273296500,Roberto,Urrutia,Pérez,1,16,"6,3",,M,4,Ciencias Naturales,1,I1,Biology,Environmental Engineering,,,,,Universidad de Concepción,,,,,
6603145197,Andrés,Iroumé,,0,15,"0,0",,M,1,Ciencias agrícolas,4,I1,Agriculture and Forestry, Fishery not elsewhere classified,Civil Engineering,Forestry and Wood Industry,,,Universidad Austral de Chile,,,,,
8953667800,Enrique,Muñoz,Ortiz,8,15,"53,3",,M,4,Ciencias Naturales,1,I1,Hydrology,Civil Engineering,Cultivation of Land, Horticulture,,,Universidad Católica de la Santísima Concepción,,,,,
6603371198,Gino,Casassa,,0,15,"0,0",,M,4,Ciencias Naturales,1,I1,Physics, Astronomy,Civil Engineering,Interdisciplinary Geosciences not elsewhere classified,,,Universidad de Magallanes,,,,,
36897386600,James,McPhee,Torres,1,15,"6,7",FONDECYT,M,4,Ciencias Naturales,1,I1,--,Civil Engineering,Hydrology,,,,Universidad de Chile,,,,,
56471620000,Álvaro,González,Reyes,4,14,"28,6",,M,4,Ciencias Naturales,1,I1,Agriculture and Forestry, Fishery not elsewhere classified,Geology, Mineralogy,,,Universidad de Chile,,,,,
56398618600,Francisco,Suárez,,6,14,"42,9",,M,4,Ciencias Naturales,1,I1,--,Civil Engineering,Hydrology,,,,Pontificia Universidad Católica de Chile,,,,,
15521140600,Roberto,Pizarro,Tapia,7,14,"50,0",,M,3,Ingeniería y tecnología,2,I1,Economics,Forestry and Wood Industry,--,,,,Universidad de Talca,,,,,
24449917300,Jorge,Gironás,León,0,13,"0,0",,M,3,Ingeniería y tecnología,2,I1,--,Civil Engineering,Hydrology,,,,Pontificia Universidad Católica de Chile,,,,,
35608275900,Jorge,Oyarzún,Muñoz,3,12,"25,0",,M,4,Ciencias Naturales,1,I1,Metallurgy,Geology, Mineralogy,Chemistry,,,Universidad de La Serena,,,,,
36099817900,Carlos,Bonilla,Meléndez,2,11,"18,2",FONDECYT,M,3,Ingeniería y tecnología,2,I1,Civil Engineering,Cultivation of Land, Horticulture,Civil Engineering,Forestry and Wood Industry,,Pontificia Universidad Católica de Chile,,,,,
55173998700,Daniela,Carrión,,0,11,"0,0",,F,4,Ciencias Naturales,1,I1,Human Geography, Regional Geography, Regional Planning,,,,Centro de Estudios Científicos,,,,,
14035616100,Enrique,Hauenstein,,1,11,"9,1",,M,4,Ciencias Naturales,1,I1,Biology,,,,,,Universidad Católica de Temuco,,,,,
7004638881,Gonzalo,Pizarro,,0,11,"0,0",,M,3,Ingeniería y tecnología,2,I1,--,Civil Engineering,Environmental Engineering,,,,Pontificia Universidad Católica de Chile,,,,,
36880813200,Alberto,De la Fuente,Stranger,4,10,"40,0",,M,4,Ciencias Naturales,1,I1,Civil Engineering,Physics, Astronomy,,,,Universidad de Chile,,,,,
7003538302,Hugo,Maturana,,0,10,"0,0",,M,4,Ciencias Naturales,1,I1,Mathematics,,,,,,Universidad de La Serena,,,,,
35109202300,Nicole,Kretschmer,,1,10,"10,0",,F,4,Ciencias Naturales,1,I1,--,Hydrology,Hydrology,,,,Centro de Estudios Avanzados en Zonas Áridas,,,,,
12242564800,Óscar,Link,Lazo,3,10,"30,0",,M,3,Ingeniería y tecnología,2,I1,Civil Engineering,Civil Engineering,,,,,Universidad de Concepción,,,,,
24333032400,Osvaldo,Salazar,,7,10,"70,0",,M,1,Ciencias agrícolas,4,I1,Forestry and Wood Industry,Cultivation of Land, Horticulture,Forestry and Wood Industry,,,Universidad de Chile,,,,,
6603288395,Samuel,Ortega,Farías,3,10,"30,0",,M,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticultura,Cultivation of Land, Horticulture,Mathematics,,Universidad de Talca,, Information Engineering,,,
