nombre_entidad,sigla_entidad,institucion_madre,institucion_madre_rec,nombre_unidad,tipo_unidad,tipo_unidad_rec,tipo_unidad_2,tipo_unidad_2_rec,proposito1,proposito1_rec,proposito2,proposito2_rec,proposito3,proposito3_rec,proposito4,proposito4_rec,sitio_web_unidad,contacto_unidad,cargo_contacto_unidad,mail_contacto_unidad,telefono_contacto_unidad,direccion_unidad,ciudad_unidad,ciudad_unidad_rec,region_unidad,region_unidad_rec,cantidad_capacidades,fuentes
ACF Minera S.A.,ACF,ACF Minera S.A.,ACF,Estaciones de Monitoreo,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,Tarapacá,1,2,2
Aguas Andinas,AA,Aguas Andinas,AA,Laboratorio ANAM,Laboratorio,2,--,#N/A,Análisis,2,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,Región Metropolitana,14,13,2
Aguas del Altiplano,A.A,Aguas del Altiplano,A.A,Estaciones de Monitoreo de Aguas del Altiplano,Red,1,--,#N/A,Monitoreo,1,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,2,2
Amphos 21 Consulting Chile,Amphos21,Amphos 21 Group Chile,406,Amphos 21 Consulting Chile,Laboratorio,2,--,#N/A,Modelación,3,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,6,2
Centro de Cambio Global UC,CCG-UC,Pontificia Universidad Católica de Chile,67,Centro de Cambio Global UC,Laboratorio de computación,3,--,#N/A,Simulación,4,--,#N/A,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,2,1
Centro de Ciencia del Clima y la Resiliencia,CR2,Universidad de Chile,125,Centro de Ciencia del Clima y la Resiliencia,Red,1,Laboratorio,1,Monitoreo,1,Análisis,2,--,#N/A,--,#N/A,--,--,--,--,--,--,--,#N/A,--,#N/A,22,1
Centro de Ciencias Ambientales EULA - Chile,EULA,Universidad de Concepción,127,Grupo de Ingeniería y Biotecnología Ambiental (GIBA),Laboratorio,2,Laboratorio de computación,2,Análisis,2,Experimentación,10,Cálculo,7,Simulación,4,http://www.eula.cl/investigacion/unidad-de-ingenieria-ambiental,Gladys Vidal,Investigador Responsable,glvidal@udec.cl,+56 41 220 4067 ,Víctor Lamas 1290,Concepción,7,Bío Bío,8,11,1
Centro de Ciencias Ambientales EULA - Chile,EULA,Universidad de Concepción,127,Laboratorio de Ecología y Conservación de Peces,Laboratorio,2,--,#N/A,Análisis,2,Experimentación,10,Monitoreo,1,--,#N/A,http://www.eula.cl/investigacion/unidad-de-sistemas-acuaticos,Evelyn Habit,Investigador Responsable,ehabit@udec.cl,+56 41 220 4063,Víctor Lamas 1290,Concepción,7,Bío Bío,8,5,1
Centro de Ecología Aplicada,CEA,Centro de Ecología Aplicada ,557,Laboratorio de análisis de calidad de aguas,Laboratorio,2,--,#N/A,Análisis,2,Control de calidad,12,Calibración,19,--,#N/A,http://www.cea.cl,Manuel Contreras Leiva,Director Ejecutivo,mcontreras@cea.cl,+56 22 274 1872,Avda. Príncipe de Gales 6465,Santiago,1,Región Metropolitana,14,8,1
Centro de Ecología Aplicada,CEA,Centro de Ecología Aplicada ,557,"Unidad de modelación numérica de  ecosistemas acuáticos, terrestres y marinos",Laboratorio de computación,3,Sistema de información,3,Monitoreo,1,Análisis,2,Modelación física,9,Simulación,4,http://www.cea.cl,Manuel Contreras Leiva,Director Ejecutivo,mcontreras@cea.cl,+56 22 274 1872,Avda. Príncipe de Gales 6465,Santiago,1,Región Metropolitana,14,6,1
Centro de Ecología Aplicada,CEA,Centro de Ecología Aplicada ,557,Unidad de percepción remota,Plataformas aéreas,4,--,#N/A,Monitoreo,1,Análisis,2,Observación,16,--,#N/A,http://www.cea.cl,Manuel Contreras Leiva,Director Ejecutivo,mcontreras@cea.cl,+56 22 274 1872,Avda. Príncipe de Gales 6465,Santiago,1,Región Metropolitana,14,6,1
Centro de Ecología Aplicada,CEA,Centro de Ecología Aplicada ,557,Laboratorio de análisis de muestras hidrobiológicas y marinas,Laboratorio,2,--,#N/A,Análisis,2,Control de Calidad,12,Calibración,19,--,#N/A,http://www.cea.cl,Manuel Contreras Leiva,Director Ejecutivo,mcontreras@cea.cl,+56 22 274 1872,Avda. Príncipe de Gales 6465,Santiago,1,Región Metropolitana,14,4,1
