id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
5,2009,Coquimbo,4, Centro de Estudios en Derecho de Recursos Naturales (CEDRENA) 2009-2010.,UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Norte,107,10000,si
6,2010,Coquimbo,4, Centro de Estudios en Derecho de Recursos Naturales (CEDRENA) 2009-2010.,UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Norte,107,10000,si
33,2013,Antofagasta,2,101 U.C.N-Tran.prom. y dif.del uso de ERNC y diver.de la matriz hídrica de la Reg.(30134233-0),UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Norte,107,151473,si
42,2013,Tarapacá,1,101 U.Santo Tomás-Transf.Prog.Puesta valor turismo termal comunidades indigenas territorio andino,UNIVERSIDAD,Institución de Educación superior,Universidad Santo Tomás,232,83076,si
43,2013,Coquimbo,4,102 CORP.REG.DESARR. PRODUC-Estudio instalac. planta desaladora vs  reutilización H20 depuradas,CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,21000,si
48,2013,Valparaíso,5,102 FUNDACIÓN CHILE - Transferencia  Tecnología nanofiltración con energía solar Isla de Pascua.,CENTRO I+D,ONG / Fundación,Fundación Chile,509,30237,si
70,2013,Coquimbo,4,"103 CORP. REG. DESARR. PRODUC-Estudio modelos gestión recursos hídricos de Elqui, Limarí y Choapa",CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,18000,si
95,2013,Antofagasta,2,105 U.A-Mod.energ.de bate.de litio y paneles fotovol.para ener.eléc.en purifi.de agua 30134523-0,UNIVERSIDAD,Institución de Educación superior,Universidad de Antofagasta,116,124050,si
110,2013,Aysén,12,106 CIEP ¿ Transferencia modelización computacional para recursos hídricos (30137300-0),CENTRO I+D,Centro de Investigación Privado,Centro de Investigación en Ecosistemas de la Patagonia:,71000,14905,si
125,2013,Antofagasta,2,107 U.C.N - Transferencia Sistema Autónomo Desalación HDH (30136774-0),UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Norte,107,104000,si
127,2013,Valparaíso,5,108 INIA Transferencia Tecnologica Optimización Hidrica Producción de paltos (30155322),AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,28182,si
137,2009,Región Metropolitana,14,Transferencia Tecnológica y de Capacitación en Riego para Provincia de Melipilla y Talagante,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,120731,si
190,2013,Tarapacá,1,108 Univ. De Chile-Transf. Mapa valor económico serv. Ecosistemáticos Tarapacá,UNIVERSIDAD,Institución de Educación superior,Universidad de Chile,125,129850,si
232,2013,Antofagasta,2,109 U.C.N - Transferencia Planta Modular y Móvil Tratamiento de Aguas Eléctricamente (30136777-0),UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Norte,107,107361,si
258,2013,Coquimbo,4,116 INIA- Transferencia estudio sobre requerimientos hídricos míninos cultivo del nogal.,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,35275,si
260,2013,Maule,7,201 INIA-Recuperación de caudales por estimulación mixta para precipitaciones,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,49766,si
271,2013,Maule,7,216 UNIVERSIDAD CATOLICA DEL MAULE-Transferencia técnicas de riego a pequeña escala para productores,UNIVERSIDAD,Institución de Educación superior,Universidad Católica del Maule,106,24100,si
286,2013,Coquimbo,4,219 CENTRO AGUAS  ZONAS ÁRIDAS (CAZALAC) Transf. análisis solución energética sistemas APR  Región,CENTRO I+D,Organización Internacional,Centro del Agua para Zonas Áridas de América Latina y el Caribe (CAZALAC),70988,20000,si
288,2010,Magallanes,13,Estudio Piloto Retroceso Masas de Aguas Superficiales y Prospección Potencial Productivo Frutos Nativos Magallanes 2009-2010,AGENCIA,Organismo público,Instituto de Investigaciones Agropecuarias (INIA),70989,47000,si
